seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22	seq_23	seq_24	seq_25	seq_26	seq_27	seq_28	seq_29	seq_30	seq_31	seq_32	seq_33	seq_34	seq_35	seq_36	seq_37	seq_38	seq_39	seq_40	seq_41	seq_42	seq_43	seq_44	seq_45	seq_46	seq_47	seq_48	seq_49	seq_50	seq_51	seq_52	seq_53	seq_54	seq_55	seq_56	seq_57	seq_58	seq_59	seq_60	seq_61	seq_62	seq_63	seq_64	seq_65	seq_66	seq_67	seq_68	seq_69	seq_70	seq_71	seq_72	seq_73	seq_74	seq_75	seq_76	seq_77	seq_78	seq_79	seq_80	seq_81	seq_82	seq_83	seq_84	seq_85	seq_86	seq_87	seq_88	seq_89	seq_90	seq_91	seq_92	seq_93	seq_94	seq_95	seq_96	seq_97	seq_98	seq_99	seq_100	seq_101	seq_102	seq_103	seq_104	seq_105	seq_106	seq_107	seq_108	seq_109	seq_110	seq_111	seq_112	seq_113	seq_114	seq_115	seq_116	seq_117	seq_118	seq_119	seq_120	seq_121	seq_122	seq_123	seq_124	seq_125	seq_126	seq_127	seq_128	seq_129	seq_130	seq_131	seq_132	seq_133	seq_134	seq_135	seq_136	seq_137	seq_138	seq_139	seq_140	seq_141	seq_142	seq_143	seq_144	seq_145	seq_146	seq_147	seq_148	seq_149	seq_150	seq_151	seq_152	seq_153	seq_154	seq_155	seq_156	seq_157	seq_158	seq_159	seq_160	seq_161	seq_162	seq_163	seq_164	seq_165	seq_166
Condensate	6562	53657	6139	1744	1218	2697	764	269	27	961	147	430	155	212	196	472	488	307	398	430	305	75	31	36	118	104	162	128	32	220	69	60	122	71	0	66	52	0	29	126	108	35	0	23	64	141	0	53	38	31	850	0	0	116	0	0	0	0	9	0	0	0	0	0	0	5983	0	0	0	19	0	0	26	0	0	27	0	0	0	0	0	0	0	0	17	452	0	0	0	10	0	0	27	0	0	0	20	0	0	0	0	0	0	0	0	0	7	0	0	13	10	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0.Hr4.V3	485	165	752	1013	907	405	234	101	0	133	258	275	110	47	50	50	51	112	125	38	110	69	148	0	52	0	13	61	57	22	13	0	0	20	0	0	0	59	0	11	11	56	19	7	0	7	34	14	8	32	0	0	0	9	0	0	13	0	34	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0.Hr4.V4	1199	15015	674	513	220	22697	104	85	44085	1456	129	70	28	534	40	32	1069	0	295	34	27	25	372	38	15	12345	54	51	57	36	10086	176	30	46	0	0	22	0	11	24	30	30	0	13	0	14	0	0	0	21	0	16	0	0	0	0	0	37	0	62	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Day0.Hr4.V5	265	3155	236	101	56	3710	196	1251	4382	14	189	15	60	840	1729	17	313	86	584	987	77	493	286	410	11	609	8	5	0	24	46	14	46	70	44	0	244	0	8	0	0	0	0	152	0	0	148	0	7	0	0	446	0	0	87	0	0	0	0	0	57	0	46	0	6	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0.Hr4.V6	3528	2801	1747	2257	4752	1676	384	831	0	615	89	89	173	23	307	169	202	144	191	324	137	204	222	0	134	17	197	50	99	90	56	12	44	19	0	70	16	0	6	64	101	42	64	25	23	8	0	22	35	17	0	0	0	0	0	0	0	0	0	40	24	0	0	0	9	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	43	0	0	0	5	0	0	0	26	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0.Hr4.V7	416	14825	65	495	24	22049	26	36	46766	1456	16	0	0	505	0	0	756	0	204	0	0	0	318	12	0	12552	7	41	0	11	11039	107	16	28	0	0	14	0	0	14	0	11	0	6	0	0	0	0	0	20	0	8	0	36	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0.Hr4.V8	3095	1647	1031	1412	2317	1742	822	926	0	461	86	53	234	31	283	108	219	385	158	506	305	412	134	38	68	43	213	72	84	59	32	24	42	24	0	55	30	0	31	40	83	128	49	25	41	10	0	27	19	17	181	0	0	0	0	0	0	0	0	31	25	0	0	0	0	0	0	0	0	12	0	0	60	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	20	0	0	0	0	0	0	25	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day1.Hr4.V3	386	21368	195	17	5	9315	2092	8458	14656	0	611	0	52	528	5349	0	2274	842	1409	2393	794	372	832	1139	0	3185	0	0	0	27	204	239	62	150	130	0	975	25	0	0	0	4	0	475	0	0	370	0	8	2	0	1797	0	0	240	0	0	0	0	0	174	0	85	0	29	0	0	0	0	60	11	0	0	0	0	0	0	0	0	0	0	0	32	0	20	12	206	0	0	0	0	0	0	8	0	31	0	0	0	0	0	249	63	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day1.Hr4.V4	217	19828	127	25	0	10571	671	5701	20443	0	330	0	186	426	6072	0	2060	277	1990	2135	253	12	985	1082	0	3336	0	0	0	7	159	148	86	240	70	0	1064	44	0	5	0	5	0	559	0	0	356	0	0	0	0	1243	0	0	270	0	0	0	0	0	118	0	156	0	30	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	166	0	0	0	0	0	0	10	0	0	0	0	0	0	0	175	69	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day1.Hr4.V5	2485	73	244	4155	959	157	172	30	0	382	690	586	193	299	60	221	92	83	109	132	70	55	301	0	180	11	20	25	54	118	73	32	0	71	158	0	0	61	86	38	74	8	28	37	84	26	0	21	21	124	0	0	49	0	0	0	46	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day1.Hr4.V6	1647	3177	860	846	327	6883	139	114	12430	742	308	221	123	343	62	77	232	79	141	94	54	50	221	51	55	2633	123	14	46	62	2745	57	54	28	59	0	0	0	28	40	0	17	13	26	26	13	0	20	14	24	0	0	0	0	0	0	10	0	0	18	6	0	19	22	0	0	0	11	8	6	0	0	13	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	32	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day1.Hr4.V7	905	19290	275	54	107	8411	2644	7977	13442	17	553	73	89	729	6048	0	2117	989	1385	1803	940	0	788	1197	11	3114	0	11	85	81	116	197	51	90	86	95	983	43	12	0	0	0	0	450	0	0	455	0	14	16	0	1757	0	0	164	0	0	0	0	0	225	0	110	0	46	0	0	0	0	71	10	0	0	0	0	0	0	0	0	0	0	0	45	0	16	0	359	0	0	0	0	0	0	16	0	0	0	0	0	0	0	253	85	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day1.Hr4.V8	660	25374	303	17	0	13688	2631	11009	18984	0	580	0	159	628	9288	0	2897	1017	2653	3419	954	621	952	1831	31	4805	0	0	22	79	236	195	115	273	107	64	1167	47	0	0	0	8	0	606	0	0	608	0	10	8	0	2272	0	0	393	0	0	0	0	0	120	0	147	0	77	0	0	0	0	147	13	0	0	0	0	0	0	0	0	0	0	0	119	0	23	12	306	0	0	0	0	0	0	10	0	27	0	0	0	0	0	334	91	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day10.Hr4.V3	3542	1816	12710	4763	7063	1610	936	203	0	726	155	1117	919	314	158	524	296	451	349	347	348	154	26	58	162	72	447	94	76	149	103	48	64	82	0	0	0	0	230	69	160	31	168	49	49	70	0	62	78	47	205	0	62	0	0	0	179	0	0	61	0	0	0	89	25	0	0	0	0	27	17	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	9	24	0	13	0	0	7	0	0	0	0	0	0	0	7	9	0	0	0	0	10	0	0	0	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day10.Hr4.V4	19497	24310	3634	10405	3074	6873	3929	2500	36	565	46	414	193	335	524	811	1198	1569	1009	568	1496	619	992	188	799	215	231	2753	461	217	30	138	72	188	0	260	100	55	0	173	36	225	347	39	92	27	77	99	19	48	0	0	0	130	0	0	0	0	0	92	7	0	0	0	30	0	0	7	0	14	26	0	36	0	42	0	0	20	0	0	30	70	29	28	15	64	13	0	0	38	40	0	31	9	0	0	82	29	0	38	2	0	0	0	0	21	0	0	0	5	23	0	0	36	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day10.Hr4.V5	12820	12411	13720	9240	952	7627	3640	482	84	1657	59	874	2290	550	215	295	822	1390	1141	1269	1348	355	31	57	304	529	761	63	36	436	92	283	322	119	0	138	117	49	5	218	93	48	0	38	73	121	0	140	40	60	0	0	336	85	0	0	3	121	0	65	0	0	0	0	0	0	0	24	0	56	43	92	0	0	9	0	0	0	0	77	12	0	55	24	0	30	0	19	0	42	0	0	44	0	13	0	32	27	0	0	1	0	0	0	0	0	0	0	19	12	5	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day10.Hr4.V6	14113	13382	9263	22371	38	6206	1621	229	112	3205	3605	1065	2023	162	442	1225	480	596	935	1025	581	306	14	55	235	277	256	97	0	302	310	220	470	234	633	100	48	40	85	275	169	47	0	18	129	349	0	128	30	30	0	0	235	112	0	0	0	189	0	85	39	0	0	84	12	0	0	8	20	45	45	125	0	0	27	19	0	0	0	0	0	0	0	27	10	25	0	24	0	11	0	0	26	0	0	0	0	0	0	0	2	0	0	7	0	0	11	0	0	12	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day10.Hr4.V7	21921	14572	16731	18406	2549	9482	3359	741	116	2087	81	1279	341	1145	452	2398	948	1487	1357	995	1300	242	449	131	506	280	456	267	215	769	133	340	370	249	0	363	121	155	64	222	113	143	0	64	109	223	87	151	176	53	0	0	202	100	74	0	0	184	14	83	10	0	0	47	14	0	0	49	20	59	68	94	0	192	0	0	0	0	0	86	0	0	0	37	0	33	0	28	8	28	9	0	33	0	0	0	45	30	14	0	11	0	0	0	0	0	0	0	18	13	8	15	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day10.Hr4.V8	22549	21510	17334	10594	4880	13571	4207	2235	18	1941	207	1082	89	1714	996	2148	1091	1750	1241	2116	1561	1119	324	174	732	36	743	708	54	1041	110	266	422	362	38	389	164	112	23	413	98	22	0	67	203	221	0	172	48	7	0	0	0	110	59	0	0	197	0	107	27	109	0	0	115	0	0	0	0	83	32	0	0	88	13	0	0	132	0	0	0	0	0	34	11	50	0	21	0	22	11	0	25	0	15	0	35	0	0	0	7	0	0	0	0	0	27	0	0	18	28	13	0	0	0	27	0	9	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day11.Hr4.V3	1809	193	532	4412	1312	250	323	18	10	771	807	1101	183	307	97	612	209	160	352	47	127	34	1214	48	16	0	52	17	0	77	85	32	48	97	155	36	0	58	152	35	84	0	26	129	49	111	0	30	75	33	0	0	79	0	0	0	94	0	0	22	0	0	0	0	13	0	0	0	27	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	18	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day11.Hr4.V4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day11.Hr4.V5	12615	19254	14819	16341	3478	5632	2860	398	54	2345	48	904	2223	107	215	344	1005	1195	1186	947	1025	272	18	63	315	485	777	71	43	356	116	104	275	93	0	135	101	33	25	244	150	48	0	32	95	118	0	174	111	90	0	0	144	70	0	0	0	176	0	54	8	0	0	0	23	0	0	15	17	34	30	0	0	0	12	34	0	0	0	73	0	0	52	15	0	0	4	14	0	36	10	0	37	7	0	0	40	0	0	0	0	0	0	0	0	0	7	0	14	0	0	9	0	0	0	29	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day11.Hr4.V6	12569	20680	5900	24362	58	2986	1248	190	41	2394	4851	835	2104	37	298	1027	840	562	783	350	453	141	0	46	158	205	187	69	0	283	213	106	215	233	869	107	120	25	105	184	148	50	0	11	108	211	0	133	68	43	0	0	129	73	0	0	0	280	0	60	21	0	0	86	18	0	0	0	36	36	42	56	0	0	13	16	0	0	0	0	0	0	36	19	7	22	0	28	0	15	0	0	22	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day11.Hr4.V7	5924	10027	5396	2653	1464	1977	1248	153	31	998	30	355	99	171	198	550	620	532	629	397	450	64	0	46	174	82	147	144	0	194	62	55	171	116	0	78	62	25	15	151	98	41	0	23	79	75	0	62	47	27	0	0	55	59	0	0	0	0	0	48	0	0	0	55	0	0	0	0	0	18	17	0	0	0	6	16	0	0	0	0	0	0	0	5	8	0	0	0	0	9	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Day11.Hr4.V8	9926	15515	7363	6037	4391	3680	1305	1126	5	1030	130	432	49	398	408	1294	728	636	725	225	517	306	30	76	212	0	507	722	44	467	30	68	144	102	0	149	64	43	23	154	67	16	0	35	0	73	0	130	38	0	0	0	0	83	0	0	0	123	0	0	12	0	0	0	30	0	0	0	9	25	24	0	0	0	0	0	0	10	0	0	0	0	0	26	5	0	0	0	0	17	0	11	15	0	0	0	21	9	0	0	1	0	0	0	0	0	10	0	0	4	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day12.Hr4.V3	16227	12575	9078	7282	7508	5790	2608	1859	26	1391	106	488	293	778	583	1522	936	1002	759	402	930	540	737	110	175	119	21	1782	672	390	87	138	104	90	0	340	98	42	0	206	84	306	323	62	82	125	80	83	65	18	245	0	0	75	0	0	0	116	0	70	24	0	0	0	28	0	0	0	14	28	36	0	0	0	13	0	0	0	0	0	31	71	0	33	12	48	18	0	0	14	13	0	18	3	17	0	69	26	0	0	6	0	0	0	0	0	0	0	6	0	29	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day12.Hr4.V4	1382	370	2728	1722	2068	909	495	218	0	347	96	97	153	147	108	43	120	230	119	38	225	25	73	16	30	0	35	83	238	74	34	20	0	17	0	49	8	30	51	22	49	122	43	7	7	4	0	17	10	34	0	0	0	17	0	0	14	0	36	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day12.Hr4.V5	19671	32539	22660	11226	7588	5077	3838	612	41	1908	162	1481	2381	48	416	526	1564	1461	1606	840	1387	468	37	135	369	711	1308	133	57	550	113	94	303	144	0	202	159	78	22	311	187	46	0	53	137	193	0	198	147	122	0	0	238	149	65	0	12	119	0	153	13	0	0	71	37	0	0	0	44	59	62	0	21	0	7	49	0	0	0	135	0	0	97	40	11	54	11	21	0	45	7	0	37	11	14	0	53	0	0	0	5	0	0	0	0	0	0	0	0	11	0	14	0	0	14	0	0	0	19	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day12.Hr4.V6	21491	49090	6744	29395	232	5502	1528	281	47	3615	10707	1333	3267	33	574	1167	1296	537	1201	593	535	403	35	81	199	328	252	135	0	485	201	58	254	350	1990	226	211	46	147	253	247	51	30	29	155	233	0	155	131	58	0	0	351	126	0	0	0	339	0	108	48	0	0	121	24	0	0	0	146	43	70	73	0	0	20	25	0	0	0	65	0	0	58	20	9	0	0	31	0	26	0	0	24	0	0	0	0	0	0	0	11	0	0	0	0	0	7	0	0	12	0	34	0	0	7	34	0	0	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day12.Hr4.V7	16303	26484	14520	8563	6482	3612	2018	368	27	1733	95	1059	130	246	466	1019	1502	754	796	540	764	167	0	85	207	111	306	217	0	516	93	49	196	170	0	244	142	50	22	216	174	53	0	35	90	213	0	124	101	27	0	0	112	107	58	0	0	118	0	102	14	0	0	61	0	0	0	0	23	32	19	0	0	66	0	22	0	0	0	68	0	0	40	18	0	0	7	14	0	16	5	0	24	0	0	0	55	0	0	0	2	0	0	0	0	0	8	0	8	12	0	8	0	0	0	33	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day12.Hr4.V8	12538	20177	10203	4780	7343	3043	1603	1204	0	860	244	543	59	260	374	1104	808	639	729	217	613	176	33	117	321	6	777	928	89	628	32	24	101	90	44	224	64	43	22	158	62	19	0	39	47	81	0	146	62	11	0	0	0	68	0	0	0	99	0	58	12	0	0	0	25	0	0	0	0	24	26	0	10	78	6	23	0	0	0	0	0	0	0	30	7	31	0	0	0	23	14	0	0	0	0	0	23	0	0	0	4	0	0	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Day13.Hr4.V3	8989	7261	6027	2792	5599	2603	1612	788	12	1527	85	309	117	565	390	611	590	619	661	130	623	212	346	91	66	69	11	1061	349	259	52	85	92	96	0	235	69	39	0	161	74	192	191	24	66	105	80	59	61	27	151	0	0	80	0	0	5	0	0	56	20	0	0	0	16	0	0	0	0	15	33	0	0	0	7	0	0	0	0	0	24	0	29	15	11	55	0	0	6	15	13	0	0	0	0	0	51	13	0	0	3	0	0	0	0	0	0	0	12	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day13.Hr4.V4	5520	111	1354	4540	4839	296	338	33	0	389	185	760	103	656	141	206	145	167	201	101	137	45	279	26	155	0	113	106	145	364	145	61	60	120	0	61	0	171	472	119	81	12	51	47	106	35	0	94	38	273	0	0	32	50	0	0	61	0	0	0	4	0	0	0	0	0	20	0	0	8	0	0	0	0	0	21	0	126	0	0	0	0	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	0	8	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day13.Hr4.V5	3785	2635	1193	6828	2180	990	287	84	27	1131	2440	334	804	199	192	227	273	106	280	196	117	83	45	64	98	83	243	24	26	136	140	23	73	148	454	50	84	0	156	55	140	47	35	23	66	71	0	25	36	42	0	0	0	0	0	0	53	122	8	38	0	0	0	57	25	0	0	0	32	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
