Kingdom	Phylum	Class	Order	Family	Genus	Species
seq_1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	NA
seq_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
seq_4	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	NA
seq_5	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	piscolens
seq_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
seq_7	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
seq_10	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerosalibacter	bizertensis
seq_11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	stercoris
seq_12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
seq_13	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
seq_14	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	lacrimalis
seq_15	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_16	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	formicigenerans
seq_17	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	faecium
seq_18	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq_19	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_20	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	NA
seq_21	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq_22	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	difficile
seq_23	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	ramosum
seq_24	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella	NA
seq_25	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	plautii
seq_26	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
seq_27	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	merdae
seq_28	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	asaccharolytica
seq_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	vaginalis
seq_32	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
seq_33	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_34	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	stercoris
seq_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	acidifaciens
seq_37	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq_38	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	NA
seq_39	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	NA
seq_40	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	niger
seq_41	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	massiliensis
seq_42	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	pneumosintes
seq_43	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	NA
seq_44	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	NA
seq_45	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	NA
seq_46	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_UCG-003	NA
seq_47	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella	NA
seq_48	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lactonifactor	NA
seq_49	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	fastidiosa
seq_50	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia	magna
seq_51	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
seq_52	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	hadrus
seq_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq_54	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	NA
seq_55	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	NA
seq_57	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Murdochiella	NA
seq_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	NA
seq_59	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tissierella	NA
seq_60	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	NA
seq_61	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	NA
seq_62	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	NA
seq_63	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	NA
seq_64	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	NA
seq_65	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_9	NA
seq_66	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	NA
seq_67	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
seq_68	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-010	NA
seq_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_70	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Candidatus_Soleaferrea	NA
seq_71	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_72	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	NA
seq_74	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	NA
seq_75	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	NA
seq_76	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	NA
seq_77	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	NA
seq_79	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	NA
seq_80	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
seq_82	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	NA
seq_83	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq_84	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_85	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Gordonibacter	NA
seq_86	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
seq_87	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	caccae
seq_88	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_89	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_15	cochlearium
seq_90	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
seq_91	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	NA
seq_92	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia	NA
seq_93	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_94	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
seq_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	NA	NA
seq_96	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
seq_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_98	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	NA
seq_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	NA
seq_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus_3	comes
seq_101	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	NA
seq_103	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella	NA
seq_104	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	lenta
seq_105	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
seq_106	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	tayi
seq_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetanaerobacterium	NA
seq_108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	NA
seq_109	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	NA
seq_110	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII_AD3011_group	NA
seq_111	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	butyriciproducens
seq_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	NA
seq_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena
seq_114	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	NA
seq_115	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Catabacter	hongkongensis
seq_116	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
seq_117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	eggerthii
seq_118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	nordii
seq_119	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	NA
seq_120	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	wadsworthia
seq_121	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	exigua
seq_122	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	lenta
seq_123	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_124	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
seq_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	NA
seq_126	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_127	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	NA
seq_128	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_13	NA
seq_129	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_130	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lactonifactor	NA
seq_131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
seq_132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_9	NA
seq_133	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	NA
seq_134	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_135	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	NA
seq_136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA
seq_137	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA
seq_138	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_139	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_140	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	NA
seq_141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_143	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
seq_144	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
seq_145	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq_146	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium]_ventriosum_group	NA
seq_147	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_148	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_149	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	NA
seq_150	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	NA
seq_151	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
seq_152	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	NA
seq_153	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	NA
seq_154	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
seq_155	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
seq_156	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_18	NA
seq_157	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_158	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
seq_159	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	NA
seq_160	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	NA
seq_161	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
seq_162	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	NA
seq_163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq_164	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	NA
seq_165	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	NA
seq_166	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
